product_id,product_name,price,quantity,created_timestamp
1,"Торт Клубничный",1200,3,2025-01-12
2,"Торт Шоколадный",1100,2,2025-01-22
3,"Эклеры шоколадные",350,5,2025-01-08
4,"Макаруны ассорти",450,4,2025-02-03
5,"Круассан классический",180,10,2025-02-16
6,"Булочка с корицей",150,8,2025-02-07
7,"Пирог с яблоками",650,3,2025-03-19
1,"Торт Клубничный",1200,1,2025-03-26
2,"Торт Шоколадный",1100,2,2025-03-29
3,"Эклеры шоколадные",350,5,2025-04-15
4,"Макаруны ассорти",450,4,2025-04-05
2,"Торт Шоколадный",1100,2,2025-04-01
4,"Макаруны ассорти",450,4,2025-05-22
5,"Круассан классический",180,10,2025-05-16
6,"Булочка с корицей",150,8,2025-05-03
1,"Торт Клубничный",1200,1,2025-05-09
2,"Торт Шоколадный",1100,2,2025-03-08
